,ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,avg_2bhk_rent,dist_from_city,sqft
0,0,Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,39.07,11500.0,19.3,2
1,1,Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5.0,3.0,120.0,,34.6,4
2,2,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2.0,3.0,62.0,19750.0,12.9,3
3,3,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,95.0,,21.4,3
4,4,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2.0,1.0,51.0,16375.0,11.8,2
5,5,Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0,14981.0,17.3,2
6,6,Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4.0,,204.0,,9.9,4
7,7,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4.0,,600.0,,9.6,4
8,8,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3.0,1.0,63.25,16620.0,10.9,3
9,9,Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6.0,,370.0,,,6
10,10,Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2.0,2.0,70.0,14981.0,17.3,3
11,11,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5.0,3.0,295.0,14981.0,17.3,4
12,12,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,38.0,,11.0,2
13,13,Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2.0,2.0,40.0,11000.0,15.2,2
14,14,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0,45000.0,17.2,3
15,15,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5,,28.6,2
16,16,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3.0,2.0,48.0,,38.4,3
17,17,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,3.0,60.0,,15.3,3
18,18,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4.0,2.0,290.0,,12.4,3
19,19,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2.0,2.0,48.0,,10.4,2
20,20,Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1.0,1.0,15.0,12000.0,22.5,1
21,21,Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3.0,1.0,122.0,,8.6,3
22,22,Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5.0,2.0,380.0,13500.0,11.5,4
23,23,Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1767,3.0,1.0,103.0,19667.0,12.9,3
24,24,Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,25.25,,,1
25,25,Super built-up  Area,18-May,Mangammanapalya,3 BHK,,1250,3.0,2.0,56.0,,,3
26,26,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,23.1,,18.1,2
27,27,Built-up  Area,20-Dec,Whitefield,3 BHK,,1610,3.0,2.0,81.0,14981.0,17.3,3
28,28,Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,48.77,19867.0,15.4,2
29,29,Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2.0,1.0,47.0,,18.1,3
30,30,Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4.0,0.0,186.0,8500.0,20.8,4
31,31,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.0,,38.4,3
32,32,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,123.0,17340.0,11.1,3
33,33,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,,15.3,3
34,34,Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3.0,,125.0,21278.0,8.6,3
35,35,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0,,26.5,2
36,36,Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,1070,2.0,1.0,45.5,,20.3,2
37,37,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0,,17.4,3
38,38,Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,1290,2.0,2.0,56.12,21000.0,12.1,3
39,39,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1143,2.0,2.0,45.0,19750.0,12.9,2
40,40,Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2.0,,81.0,18875.0,6.8,2
41,41,Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,38.0,,17.2,3
42,42,Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,38.0,,8.6,1
43,43,Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,660,1.0,0.0,48.0,8500.0,20.8,1
44,44,Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,,26.5,2
45,45,Plot  Area,Ready To Move,HSR Layout,8 Bedroom,,600,9.0,,200.0,20521.0,10.5,8
46,46,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0,13625.0,19.6,2
47,47,Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82,14981.0,17.3,2
48,48,Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800,1.0,1.0,130.0,,11.9,2
49,49,Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2.0,1.0,36.0,,,2
50,50,Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,50.0,,,2
51,51,Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3.0,1.0,99.0,,15.3,3
52,52,Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0,14981.0,17.3,3
53,53,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,75.0,,13.3,2
54,54,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0,8500.0,20.8,3
55,55,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,,10.8,2
56,56,Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,,,192.0,17302.0,38.7,4
57,57,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0,,12.4,2
58,58,Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4.0,1.0,150.0,18875.0,6.8,6
